  # q-path    omega_q   gamma(q)(meV)     g(q)^2 (meV*ryd)          lambda
    0.0000     0.0000      0.0000e+00           0.0000e+00      0.0000e+00
    0.0250     0.4549      0.0000e+00           0.0000e+00      0.0000e+00
    0.0499     0.9234      5.9000e-05           1.3682e+04      3.5075e-01
    0.0749     1.3862      3.7000e-05           9.3997e+03      9.7607e-02
    0.0998     1.8448      4.5000e-05           7.3915e+03      6.7026e-02
    0.1248     2.2983      3.4000e-05           6.2866e+03      3.2628e-02
    0.1498     2.7460      4.0000e-05           5.6332e+03      2.6890e-02
    0.1747     3.1869      3.8000e-05           5.2377e+03      1.8966e-02
    0.1997     3.6202      4.3000e-05           5.0021e+03      1.6632e-02
    0.2246     4.0452      4.4000e-05           4.8720e+03      1.3630e-02
    0.2496     4.4613      4.9000e-05           4.8164e+03      1.2480e-02
    0.2746     4.8678      4.4000e-05           4.8116e+03      9.4128e-03
    0.2995     5.2645      7.0000e-05           4.8422e+03      1.2803e-02
    0.3245     5.6511      7.3000e-05           4.9008e+03      1.1587e-02
    0.3494     6.0275      1.0600e-04           4.9798e+03      1.4790e-02
    0.3744     6.3936      1.1400e-04           5.0788e+03      1.4137e-02
    0.3993     6.7495      1.4300e-04           5.1906e+03      1.5912e-02
    0.4243     7.0953      1.6600e-04           5.3132e+03      1.6715e-02
    0.4493     7.4313      1.1000e-04           5.4469e+03      1.0097e-02
    0.4742     7.7577      8.7000e-05           5.5859e+03      7.3280e-03
    0.4992     8.0747      8.3000e-05           5.7257e+03      6.4529e-03
    0.5241     8.3824      9.0000e-05           5.8652e+03      6.4929e-03
    0.5491     8.6810      1.0000e-04           6.0036e+03      6.7265e-03
    0.5741     8.9706      7.2000e-05           6.1346e+03      4.5354e-03
    0.5990     9.2510      5.9000e-05           6.2592e+03      3.4947e-03
    0.6240     9.5222      5.8000e-05           6.3740e+03      3.2425e-03
    0.6489     9.7836      3.7000e-05           6.4819e+03      1.9595e-03
    0.6739    10.0347      9.1000e-05           6.5821e+03      4.5810e-03
    0.6989    10.2744      7.3000e-05           6.6769e+03      3.5054e-03
    0.7238    10.5011      6.0000e-05           6.7737e+03      2.7581e-03
    0.7488    10.7123      6.5000e-05           6.8870e+03      2.8713e-03
    0.7737    10.9044      6.8000e-05           7.0408e+03      2.8989e-03
    0.7987    11.0735      9.8000e-05           7.2627e+03      4.0512e-03
    0.8237    11.2172      1.1600e-04           7.5695e+03      4.6733e-03
    0.8486    11.3379      9.2000e-05           7.9202e+03      3.6279e-03
    0.8736    11.4432      9.7000e-05           8.2584e+03      3.7550e-03
    0.8985    11.5419      1.3200e-04           8.5396e+03      5.0228e-03
    0.9235    11.6399      2.1300e-04           8.7588e+03      7.9691e-03
    0.9484    11.7401      2.6400e-04           8.9192e+03      9.7094e-03
    0.9734    11.8423      5.5800e-04           9.0276e+03      2.0169e-02
    0.9984    11.9454      5.3300e-04           9.0868e+03      1.8935e-02
    1.0078    11.9580      6.3000e-04           9.0945e+03      2.2333e-02
    1.0172    11.9706      6.5700e-04           9.1016e+03      2.3241e-02
    1.0266    11.9831      6.2100e-04           9.1044e+03      2.1922e-02
    1.0360    11.9955      5.9300e-04           9.1091e+03      2.0890e-02
    1.0454    12.0076      5.3000e-04           9.1075e+03      1.8633e-02
    1.0548    12.0194      4.0000e-04           9.1017e+03      1.4035e-02
    1.0643    12.0307      3.7900e-04           9.0997e+03      1.3274e-02
    1.0737    12.0416      4.0000e-04           9.0935e+03      1.3984e-02
    1.0831    12.0520      3.8200e-04           9.0863e+03      1.3331e-02
    1.0925    12.0617      2.8700e-04           9.0778e+03      9.9999e-03
    1.1019    12.0709      3.0800e-04           9.0672e+03      1.0715e-02
    1.1113    12.0795      3.5400e-04           9.0582e+03      1.2298e-02
    1.1207    12.0875      2.6600e-04           9.0478e+03      9.2287e-03
    1.1302    12.0948      3.0000e-04           9.0360e+03      1.0396e-02
    1.1396    12.1015      3.2100e-04           9.0237e+03      1.1111e-02
    1.1490    12.1077      3.0400e-04           9.0129e+03      1.0512e-02
    1.1584    12.1132      2.8400e-04           9.0016e+03      9.8114e-03
    1.1678    12.1183      3.7600e-04           8.9911e+03      1.2979e-02
    1.1772    12.1227      2.4100e-04           8.9806e+03      8.3128e-03
    1.1866    12.1267      4.1800e-04           8.9722e+03      1.4409e-02
    1.1960    12.1302      3.5500e-04           8.9609e+03      1.2230e-02
    1.2055    12.1333      2.4800e-04           8.9561e+03      8.5393e-03
    1.2149    12.1359      2.5600e-04           8.9473e+03      8.8110e-03
    1.2243    12.1381      5.1500e-04           8.9396e+03      1.7719e-02
    1.2337    12.1399      4.5800e-04           8.9353e+03      1.5753e-02
    1.2431    12.1414      1.6100e-04           8.9299e+03      5.5363e-03
    1.2525    12.1425      3.0900e-04           8.9275e+03      1.0624e-02
    1.2619    12.1433      1.7100e-04           8.9236e+03      5.8783e-03
    1.2714    12.1438      1.6100e-04           8.9236e+03      5.5341e-03
    1.2808    12.1439      4.8600e-04           8.9246e+03      1.6705e-02
    1.2878    12.1438      3.2700e-04           8.9224e+03      1.1240e-02
    1.2949    12.1436      2.6100e-04           8.9237e+03      8.9717e-03
    1.3020    12.1431      1.6400e-04           8.9236e+03      5.6379e-03
    1.3090    12.1425      3.0900e-04           8.9275e+03      1.0624e-02
    1.3161    12.1417      2.4300e-04           8.9294e+03      8.3556e-03
    1.3231    12.1407      3.8300e-04           8.9336e+03      1.3172e-02
    1.3302    12.1395      4.7600e-04           8.9368e+03      1.6373e-02
    1.3373    12.1381      5.1500e-04           8.9396e+03      1.7719e-02
    1.3443    12.1365      3.3500e-04           8.9446e+03      1.1529e-02
    1.3514    12.1346      3.3200e-04           8.9501e+03      1.1429e-02
    1.3584    12.1325      3.3300e-04           8.9575e+03      1.1468e-02
    1.3655    12.1302      3.5500e-04           8.9609e+03      1.2230e-02
    1.3726    12.1276      4.3200e-04           8.9685e+03      1.4889e-02
    1.3796    12.1248      3.9300e-04           8.9733e+03      1.3551e-02
    1.3867    12.1217      3.2100e-04           8.9836e+03      1.1074e-02
    1.3937    12.1183      3.7600e-04           8.9911e+03      1.2979e-02
    1.4008    12.1146      2.6100e-04           8.9989e+03      9.0147e-03
    1.4079    12.1105      2.5300e-04           9.0074e+03      8.7443e-03
    1.4149    12.1062      4.0200e-04           9.0155e+03      1.3904e-02
    1.4220    12.1015      3.2100e-04           9.0237e+03      1.1111e-02
    1.4290    12.0965      3.0700e-04           9.0318e+03      1.0635e-02
    1.4361    12.0912      2.7900e-04           9.0421e+03      9.6738e-03
    1.4432    12.0855      2.4700e-04           9.0485e+03      8.5723e-03
    1.4502    12.0795      3.5400e-04           9.0582e+03      1.2298e-02
    1.4573    12.0731      2.2900e-04           9.0643e+03      7.9639e-03
    1.4643    12.0664      2.8400e-04           9.0732e+03      9.8876e-03
    1.4714    12.0593      3.0200e-04           9.0800e+03      1.0527e-02
    1.4785    12.0520      3.8200e-04           9.0863e+03      1.3331e-02
    1.4855    12.0442      3.5000e-04           9.0919e+03      1.2230e-02
    1.4926    12.0362      2.6800e-04           9.0970e+03      9.3775e-03
    1.4996    12.0279      4.2300e-04           9.1011e+03      1.4821e-02
    1.5067    12.0194      4.0000e-04           9.1017e+03      1.4035e-02
    1.5138    12.0106      5.2400e-04           9.1057e+03      1.8413e-02
    1.5208    12.0016      6.0900e-04           9.1059e+03      2.1432e-02
    1.5279    11.9924      5.6600e-04           9.1074e+03      1.9950e-02
    1.5349    11.9831      6.2100e-04           9.1044e+03      2.1922e-02
    1.5420    11.9737      5.9400e-04           9.1014e+03      2.1002e-02
    1.5491    11.9643      7.4800e-04           9.0972e+03      2.6488e-02
    1.5561    11.9548      6.6100e-04           9.0932e+03      2.3445e-02
    1.5632    11.9454      5.3300e-04           9.0868e+03      1.8935e-02
    1.5841    11.8422      4.8900e-04           9.0209e+03      1.7676e-02
    1.6051    11.7363      4.5400e-04           8.9033e+03      1.6708e-02
    1.6261    11.6270      1.4100e-04           8.7324e+03      5.2871e-03
    1.6470    11.5137      2.7900e-04           8.5049e+03      1.0669e-02
    1.6680    11.3963      1.4300e-04           8.2309e+03      5.5813e-03
    1.6890    11.2750      1.5800e-04           7.9190e+03      6.3002e-03
    1.7099    11.1509      2.9900e-04           7.5989e+03      1.2189e-02
    1.7309    11.0258      4.6700e-04           7.2898e+03      1.9473e-02
    1.7519    10.9018      1.0500e-04           7.0151e+03      4.4784e-03
    1.7728    10.7815      3.9700e-04           6.7794e+03      1.7313e-02
    1.7938    10.6670      1.3600e-04           6.5879e+03      6.0588e-03
    1.8148    10.5603      3.8100e-04           6.4386e+03      1.7318e-02
    1.8357    10.4628      1.5000e-04           6.3290e+03      6.9459e-03
    1.8567    10.3754      3.3700e-04           6.2562e+03      1.5869e-02
    1.8777    10.2981      4.4800e-04           6.2255e+03      2.1414e-02
    1.8986    10.2303      6.1300e-04           6.2391e+03      2.9690e-02
    1.9196    10.1703      9.0000e-04           6.2976e+03      4.4107e-02
    1.9405    10.1155      6.7500e-04           6.4039e+03      3.3439e-02
    1.9615    10.0618      8.0200e-04           6.5450e+03      4.0156e-02
    1.9825    10.0048      8.2900e-04           6.6985e+03      4.1982e-02
    2.0034     9.9401      6.7600e-04           6.8239e+03      3.4681e-02
    2.0244     9.8649      6.5700e-04           6.8890e+03      3.4222e-02
    2.0454     9.7783      9.6600e-04           6.8846e+03      5.1213e-02
    2.0663     9.6804      6.0100e-04           6.8183e+03      3.2510e-02
    2.0873     9.5723      5.3400e-04           6.7071e+03      2.9542e-02
    2.1083     9.4552      7.7200e-04           6.5669e+03      4.3773e-02
    2.1292     9.3304      3.7900e-04           6.4180e+03      2.2068e-02
    2.1502     9.1994      6.9300e-04           6.2638e+03      4.1509e-02
    2.1712     9.0640      3.8200e-04           6.1152e+03      2.3570e-02
    2.1921     8.9263      8.6800e-04           5.9718e+03      5.5221e-02
    2.2131     8.7885      4.8000e-04           5.8423e+03      3.1502e-02
    2.2341     8.6534      1.0200e-03           5.7273e+03      6.9049e-02
    2.2550     8.5240      4.3100e-04           5.6296e+03      3.0069e-02
    2.2760     8.4033      1.2810e-03           5.5459e+03      9.1956e-02
    2.2970     8.2945      4.9500e-04           5.4771e+03      3.6472e-02
    2.3179     8.2006      2.3500e-04           5.4226e+03      1.7714e-02
    2.3389     8.1244      2.5000e-04           5.3802e+03      1.9199e-02
    2.3598     8.0682      2.5200e-04           5.3299e+03      1.9624e-02
    2.3808     8.0337      2.4400e-04           5.3272e+03      1.9164e-02
    2.4018     8.0221      9.2000e-05           5.3298e+03      7.2467e-03
    2.4153     8.0142      2.8500e-04           5.3204e+03      2.2493e-02
    2.4289     7.9910      2.8000e-04           5.2963e+03      2.2227e-02
    2.4424     7.9527      2.4700e-04           5.2544e+03      1.9797e-02
    2.4560     7.9002      2.3500e-04           5.1979e+03      1.9086e-02
    2.4695     7.8343      2.4000e-04           5.1291e+03      1.9822e-02
    2.4830     7.7560      2.9000e-04           5.0496e+03      2.4437e-02
    2.4966     7.6664      3.1200e-04           4.9620e+03      2.6909e-02
    2.5101     7.5664      3.3800e-04           4.8684e+03      2.9927e-02
    2.5237     7.4571      3.1000e-04           4.7712e+03      2.8259e-02
    2.5372     7.3393      2.9800e-04           4.6721e+03      2.8044e-02
    2.5508     7.2135      2.3700e-04           4.5722e+03      2.3088e-02
    2.5643     7.0804      2.2200e-04           4.4732e+03      2.2447e-02
    2.5778     6.9403      1.7600e-04           4.3767e+03      1.8522e-02
    2.5914     6.7933      2.0400e-04           4.2837e+03      2.2408e-02
    2.6049     6.6395      1.4800e-04           4.1947e+03      1.7018e-02
    2.6185     6.4787      1.9300e-04           4.1095e+03      2.3308e-02
    2.6320     6.3107      1.6000e-04           4.0287e+03      2.0365e-02
    2.6456     6.1353      1.2500e-04           3.9531e+03      1.6833e-02
    2.6591     5.9520      1.4200e-04           3.8841e+03      2.0319e-02
    2.6726     5.7605      1.0900e-04           3.8225e+03      1.6651e-02
    2.6862     5.5071      1.2500e-04           3.8147e+03      2.0893e-02
    2.6997     5.2429      1.6500e-04           3.8243e+03      3.0428e-02
    2.7133     4.9693      7.4000e-05           3.8523e+03      1.5190e-02
    2.7268     4.6874      7.7000e-05           3.9003e+03      1.7765e-02
    2.7404     4.3987      1.2000e-04           3.9706e+03      3.1439e-02
    2.7539     4.1046      1.3400e-04           4.0666e+03      4.0317e-02
    2.7675     3.8066      7.1000e-05           4.1932e+03      2.4838e-02
    2.7810     3.5060      1.2600e-04           4.3562e+03      5.1961e-02
    2.7945     3.2041      1.6700e-04           4.5656e+03      8.2458e-02
    2.8081     2.9021      1.3200e-04           4.8345e+03      7.9447e-02
    2.8216     2.6009      1.1800e-04           5.1820e+03      8.8423e-02
    2.8352     2.3014      8.2000e-05           5.6376e+03      7.8480e-02
    2.8487     2.0042      1.0000e-04           6.2492e+03      1.2620e-01
    2.8623     1.7097      8.8000e-05           7.0968e+03      1.5261e-01
    2.8758     1.4179      7.2000e-05           8.3256e+03      1.8154e-01
    2.8893     1.1287      5.2000e-05           1.0229e+04      2.0691e-01
    2.9029     0.8414      4.4000e-05           1.3504e+04      3.1505e-01
    2.9164     0.5546      0.0000e+00           0.0000e+00      0.0000e+00
    2.9300     0.2625      0.0000e+00           0.0000e+00      0.0000e+00
    2.9435     0.0000      0.0000e+00           0.0000e+00      0.0000e+00
    2.9760     0.5672      0.0000e+00           0.0000e+00      0.0000e+00
    3.0085     1.1388      4.7000e-05           1.0271e+04      1.8371e-01
    3.0409     1.7045      2.4000e-05           7.3533e+03      4.1874e-02
    3.0734     2.2633      2.1000e-05           6.1009e+03      2.0781e-02
    3.1059     2.8134      1.6000e-05           5.5037e+03      1.0247e-02
    3.1384     3.3527      8.0000e-06           5.2279e+03      3.6077e-03
    3.1708     3.8795      6.0000e-06           5.1306e+03      2.0208e-03
    3.2033     4.3921      5.0000e-06           5.1417e+03      1.3139e-03
    3.2358     4.8891      3.0000e-06           5.2214e+03      6.3620e-04
    3.2683     5.3693      2.0000e-06           5.3464e+03      3.5166e-04
    3.3007     5.8318      1.0000e-06           5.5027e+03      1.4905e-04
    3.3332     6.2761      1.0000e-06           5.6806e+03      1.2869e-04
    3.3657     6.7017      1.0000e-06           5.8740e+03      1.1287e-04
    3.3981     7.1088      4.0000e-06           6.0791e+03      4.0123e-04
    3.4306     7.4978      6.0000e-06           6.2922e+03      5.4102e-04
    3.4631     7.8693      1.1000e-05           6.5131e+03      9.0043e-04
    3.4956     8.2240      3.9000e-05           6.7383e+03      2.9230e-03
    3.5280     8.5632      6.8000e-05           6.9669e+03      4.7007e-03
    3.5605     8.8881      6.0000e-05           7.2007e+03      3.8500e-03
    3.5930     9.1999      6.7000e-05           7.4370e+03      4.0127e-03
    3.6255     9.5000      7.5000e-05           7.6747e+03      4.2125e-03
    3.6579     9.7897      1.0900e-04           7.9133e+03      5.7652e-03
    3.6904    10.0702      1.2200e-04           8.1515e+03      6.0984e-03
    3.7229    10.3423      1.8000e-04           8.3873e+03      8.5304e-03
    3.7554    10.6068      1.9100e-04           8.6151e+03      8.6059e-03
    3.7878    10.8640      6.5000e-05           8.8307e+03      2.7917e-03
    3.8203    11.1136      8.2000e-05           9.0258e+03      3.3654e-03
    3.8528    11.3548      1.1100e-04           9.1953e+03      4.3641e-03
    3.8852    11.5858      8.4000e-05           9.3254e+03      3.1722e-03
    3.9177    11.8035      1.1000e-04           9.4035e+03      4.0022e-03
    3.9502    12.0014      5.8000e-05           9.4036e+03      2.0412e-03
    3.9827    12.1666      5.5000e-05           9.2858e+03      1.8835e-03
    4.0151    12.2760      7.9000e-05           9.0727e+03      2.6573e-03
    4.0476    12.3121      7.4000e-05           8.9779e+03      2.4746e-03
    4.0801    12.2996      6.6000e-05           9.1123e+03      2.2115e-03
