  # q-path    omega_q   gamma(q)(meV)     g(q)^2 (meV*ryd)          lambda
    0.0000     0.0000      0.0000e+00           0.0000e+00      0.0000e+00
    0.0250     0.4549      0.0000e+00           0.0000e+00      0.0000e+00
    0.0499     0.9234      4.9000e-05           6.3788e-01      2.9130e-01
    0.0749     1.3862      5.8000e-05           4.4181e-01      1.5301e-01
    0.0998     1.8448      4.0000e-05           3.5196e-01      5.9579e-02
    0.1248     2.2983      4.4000e-05           3.0292e-01      4.2225e-02
    0.1498     2.7460      5.2000e-05           2.7544e-01      3.4957e-02
    0.1747     3.1869      5.6000e-05           2.5927e-01      2.7950e-02
    0.1997     3.6202      3.5000e-05           2.5058e-01      1.3537e-02
    0.2246     4.0452      8.0000e-05           2.4652e-01      2.4782e-02
    0.2496     4.4613      9.7000e-05           2.4577e-01      2.4705e-02
    0.2746     4.8678      2.5000e-05           2.4825e-01      5.3482e-03
    0.2995     5.2645      1.6700e-04           2.5132e-01      3.0544e-02
    0.3245     5.6511      1.0800e-04           2.5653e-01      1.7143e-02
    0.3494     6.0275      7.2000e-05           2.6232e-01      1.0046e-02
    0.3744     6.3936      6.4000e-05           2.6897e-01      7.9363e-03
    0.3993     6.7495      2.0100e-04           2.7642e-01      2.2366e-02
    0.4243     7.0953      1.8400e-04           2.8410e-01      1.8527e-02
    0.4493     7.4313      2.6200e-04           2.9265e-01      2.4049e-02
    0.4742     7.7577      2.7800e-04           3.0118e-01      2.3416e-02
    0.4992     8.0747      1.1300e-04           3.1003e-01      8.7853e-03
    0.5241     8.3824      1.3700e-04           3.1857e-01      9.8836e-03
    0.5491     8.6810      1.4700e-04           3.2841e-01      9.8880e-03
    0.5741     8.9706      4.7000e-05           3.3637e-01      2.9606e-03
    0.5990     9.2510      1.0100e-04           3.4459e-01      5.9824e-03
    0.6240     9.5222      3.7000e-05           3.5180e-01      2.0685e-03
    0.6489     9.7836      3.7000e-05           3.5841e-01      1.9595e-03
    0.6739    10.0347      2.1000e-05           3.6432e-01      1.0572e-03
    0.6989    10.2744      1.4000e-05           3.6998e-01      6.7227e-04
    0.7238    10.5011      1.8000e-05           3.7534e-01      8.2743e-04
    0.7488    10.7123      2.1000e-05           3.8153e-01      9.2765e-04
    0.7737    10.9044      1.9000e-05           3.8969e-01      8.0999e-04
    0.7987    11.0735      3.9000e-05           4.0135e-01      1.6122e-03
    0.8237    11.2172      9.1000e-05           4.1902e-01      3.6661e-03
    0.8486    11.3379      1.4800e-04           4.3781e-01      5.8362e-03
    0.8736    11.4432      3.7000e-05           4.5682e-01      1.4323e-03
    0.8985    11.5419      2.8000e-05           4.7231e-01      1.0655e-03
    0.9235    11.6399      1.0600e-04           4.8426e-01      3.9659e-03
    0.9484    11.7401      4.7500e-04           4.9218e-01      1.7469e-02
    0.9734    11.8423      9.0900e-04           4.9729e-01      3.2857e-02
    0.9984    11.9454      4.9600e-04           4.9963e-01      1.7620e-02
    1.0078    11.9580      2.8600e-04           5.0004e-01      1.0139e-02
    1.0172    11.9706      9.7900e-04           5.0019e-01      3.4632e-02
    1.0266    11.9831      9.5600e-04           5.0051e-01      3.3748e-02
    1.0360    11.9955      2.0800e-04           5.0049e-01      7.3275e-03
    1.0454    12.0076      6.8500e-04           5.0054e-01      2.4083e-02
    1.0548    12.0194      1.4100e-04           5.0012e-01      4.9475e-03
    1.0643    12.0307      1.8000e-04           5.0039e-01      6.3041e-03
    1.0737    12.0416      1.9300e-04           4.9995e-01      6.7471e-03
    1.0831    12.0520      2.6600e-04           4.9979e-01      9.2831e-03
    1.0925    12.0617      2.8400e-04           4.9956e-01      9.8954e-03
    1.1019    12.0709      8.5000e-05           4.9928e-01      2.9571e-03
    1.1113    12.0795      4.6000e-05           4.9891e-01      1.5980e-03
    1.1207    12.0875      7.9000e-05           4.9890e-01      2.7408e-03
    1.1302    12.0948      7.2000e-05           4.9835e-01      2.4950e-03
    1.1396    12.1015      7.9000e-05           4.9737e-01      2.7345e-03
    1.1490    12.1077      6.1000e-05           4.9669e-01      2.1093e-03
    1.1584    12.1132      6.0000e-05           4.9634e-01      2.0728e-03
    1.1678    12.1183      9.5000e-05           4.9573e-01      3.2792e-03
    1.1772    12.1227      1.2000e-04           4.9556e-01      4.1392e-03
    1.1866    12.1267      6.7000e-05           4.9518e-01      2.3095e-03
    1.1960    12.1302      5.0000e-05           4.9456e-01      1.7225e-03
    1.2055    12.1333      1.5600e-04           4.9431e-01      5.3715e-03
    1.2149    12.1359      1.7100e-04           4.9415e-01      5.8855e-03
    1.2243    12.1381      1.6200e-04           4.9415e-01      5.5737e-03
    1.2337    12.1399      2.3000e-05           4.9352e-01      7.9109e-04
    1.2431    12.1414      2.8000e-05           4.9324e-01      9.6283e-04
    1.2525    12.1425      1.6700e-04           4.9354e-01      5.7416e-03
    1.2619    12.1433      2.6000e-05           4.9353e-01      8.9378e-04
    1.2714    12.1438      7.6000e-05           4.9417e-01      2.6124e-03
    1.2808    12.1439      1.4700e-04           4.9416e-01      5.0528e-03
    1.2878    12.1438      1.4400e-04           4.9412e-01      4.9498e-03
    1.2949    12.1436      1.0200e-04           4.9362e-01      3.5062e-03
    1.3020    12.1431      7.6000e-05           4.9344e-01      2.6127e-03
    1.3090    12.1425      1.6700e-04           4.9354e-01      5.7416e-03
    1.3161    12.1417      3.8000e-05           4.9334e-01      1.3066e-03
    1.3231    12.1407      2.0000e-05           4.9353e-01      6.8782e-04
    1.3302    12.1395      3.4000e-05           4.9372e-01      1.1695e-03
    1.3373    12.1381      1.6200e-04           4.9415e-01      5.5737e-03
    1.3443    12.1365      1.5600e-04           4.9406e-01      5.3687e-03
    1.3514    12.1346      1.4100e-04           4.9397e-01      4.8540e-03
    1.3584    12.1325      1.1300e-04           4.9430e-01      3.8914e-03
    1.3655    12.1302      5.0000e-05           4.9456e-01      1.7225e-03
    1.3726    12.1276      4.7000e-05           4.9497e-01      1.6199e-03
    1.3796    12.1248      7.5000e-05           4.9551e-01      2.5861e-03
    1.3867    12.1217      1.2800e-04           4.9551e-01      4.4158e-03
    1.3937    12.1183      9.5000e-05           4.9573e-01      3.2792e-03
    1.4008    12.1146      7.8000e-05           4.9606e-01      2.6941e-03
    1.4079    12.1105      7.0000e-05           4.9655e-01      2.4194e-03
    1.4149    12.1062      4.9000e-05           4.9679e-01      1.6948e-03
    1.4220    12.1015      7.9000e-05           4.9737e-01      2.7345e-03
    1.4290    12.0965      2.9700e-04           4.9812e-01      1.0289e-02
    1.4361    12.0912      4.0000e-05           4.9880e-01      1.3869e-03
    1.4432    12.0855      1.2200e-04           4.9910e-01      4.2341e-03
    1.4502    12.0795      4.6000e-05           4.9891e-01      1.5980e-03
    1.4573    12.0731      6.4000e-05           4.9940e-01      2.2257e-03
    1.4643    12.0664      1.2000e-04           4.9929e-01      4.1779e-03
    1.4714    12.0593      9.7000e-05           4.9936e-01      3.3811e-03
    1.4785    12.0520      2.6600e-04           4.9979e-01      9.2831e-03
    1.4855    12.0442      3.1700e-04           4.9976e-01      1.1077e-02
    1.4926    12.0362      4.4900e-04           5.0033e-01      1.5711e-02
    1.4996    12.0279      1.5700e-04           5.0021e-01      5.5011e-03
    1.5067    12.0194      1.4100e-04           5.0012e-01      4.9475e-03
    1.5138    12.0106      3.7300e-04           5.0037e-01      1.3107e-02
    1.5208    12.0016      7.8500e-04           5.0045e-01      2.7626e-02
    1.5279    11.9924      2.7700e-04           5.0031e-01      9.7633e-03
    1.5349    11.9831      9.5600e-04           5.0051e-01      3.3748e-02
    1.5420    11.9737      1.1460e-03           5.0020e-01      4.0519e-02
    1.5491    11.9643      5.6800e-04           5.0011e-01      2.0114e-02
    1.5561    11.9548      2.1800e-04           4.9991e-01      7.7322e-03
    1.5632    11.9454      4.9600e-04           4.9963e-01      1.7620e-02
    1.5841    11.8422      6.6200e-04           4.9718e-01      2.3929e-02
    1.6051    11.7363      8.7600e-04           4.9110e-01      3.2238e-02
    1.6261    11.6270      1.9400e-04           4.8232e-01      7.2744e-03
    1.6470    11.5137      1.4700e-04           4.7033e-01      5.6211e-03
    1.6680    11.3963      1.0100e-04           4.5596e-01      3.9421e-03
    1.6890    11.2750      2.2800e-04           4.3841e-01      9.0914e-03
    1.7099    11.1509      2.2000e-05           4.2182e-01      8.9688e-04
    1.7309    11.0258      3.4000e-05           4.0490e-01      1.4177e-03
    1.7519    10.9018      1.6800e-04           3.9073e-01      7.1654e-03
    1.7728    10.7815      4.3800e-04           3.7916e-01      1.9101e-02
    1.7938    10.6670      1.8300e-04           3.7000e-01      8.1526e-03
    1.8148    10.5603      1.4800e-04           3.6363e-01      6.7273e-03
    1.8357    10.4628      3.8700e-04           3.5927e-01      1.7920e-02
    1.8567    10.3754      3.4100e-04           3.5735e-01      1.6057e-02
    1.8777    10.2981      2.8300e-04           3.5683e-01      1.3527e-02
    1.8986    10.2303      1.8500e-04           3.6000e-01      8.9604e-03
    1.9196    10.1703      5.0600e-04           3.6474e-01      2.4798e-02
    1.9405    10.1155      9.5100e-04           3.7260e-01      4.7112e-02
    1.9615    10.0618      6.0800e-04           3.8117e-01      3.0443e-02
    1.9825    10.0048      1.0620e-03           3.9017e-01      5.3782e-02
    2.0034     9.9401      8.3500e-04           3.9667e-01      4.2839e-02
    2.0244     9.8649      5.4300e-04           3.9947e-01      2.8284e-02
    2.0454     9.7783      9.2500e-04           3.9766e-01      4.9039e-02
    2.0663     9.6804      2.1400e-04           3.9203e-01      1.1576e-02
    2.0873     9.5723      2.2700e-04           3.8353e-01      1.2558e-02
    2.1083     9.4552      2.1000e-04           3.7368e-01      1.1907e-02
    2.1292     9.3304      5.0800e-04           3.6325e-01      2.9580e-02
    2.1502     9.1994      7.6800e-04           3.5125e-01      4.6002e-02
    2.1712     9.0640      2.9600e-04           3.4073e-01      1.8263e-02
    2.1921     8.9263      6.3600e-04           3.2966e-01      4.0462e-02
    2.2131     8.7885      6.8800e-04           3.2054e-01      4.5153e-02
    2.2341     8.6534      1.0320e-03           3.1157e-01      6.9861e-02
    2.2550     8.5240      5.5100e-04           3.0352e-01      3.8441e-02
    2.2760     8.4033      2.1600e-04           2.9678e-01      1.5505e-02
    2.2970     8.2945      5.2800e-04           2.9133e-01      3.8903e-02
    2.3179     8.2006      1.9900e-04           2.8658e-01      1.5000e-02
    2.3389     8.1244      2.1300e-04           2.8280e-01      1.6358e-02
    2.3598     8.0682      3.7200e-04           2.7884e-01      2.8968e-02
    2.3808     8.0337      4.3600e-04           2.7859e-01      3.4244e-02
    2.4018     8.0221      2.8200e-04           2.7916e-01      2.2213e-02
    2.4153     8.0142      3.8000e-04           2.7830e-01      2.9991e-02
    2.4289     7.9910      4.2300e-04           2.7729e-01      3.3579e-02
    2.4424     7.9527      3.3800e-04           2.7473e-01      2.7091e-02
    2.4560     7.9002      3.4400e-04           2.7214e-01      2.7939e-02
    2.4695     7.8343      2.8700e-04           2.6819e-01      2.3703e-02
    2.4830     7.7560      1.0240e-03           2.6445e-01      8.6289e-02
    2.4966     7.6664      4.5300e-04           2.5953e-01      3.9070e-02
    2.5101     7.5664      1.0100e-03           2.5511e-01      8.9428e-02
    2.5237     7.4571      9.5500e-04           2.4971e-01      8.7055e-02
    2.5372     7.3393      2.0200e-04           2.4502e-01      1.9010e-02
    2.5508     7.2135      2.0000e-04           2.3951e-01      1.9484e-02
    2.5643     7.0804      3.1800e-04           2.3488e-01      3.2154e-02
    2.5778     6.9403      1.8800e-04           2.2954e-01      1.9785e-02
    2.5914     6.7933      2.3200e-04           2.2503e-01      2.5483e-02
    2.6049     6.6395      2.7300e-04           2.1999e-01      3.1392e-02
    2.6185     6.4787      3.1100e-04           2.1570e-01      3.7559e-02
    2.6320     6.3107      2.9400e-04           2.1105e-01      3.7422e-02
    2.6456     6.1353      1.1900e-04           2.0721e-01      1.6025e-02
    2.6591     5.9520      7.2000e-05           2.0309e-01      1.0302e-02
    2.6726     5.7605      4.2000e-05           1.9981e-01      6.4159e-03
    2.6862     5.5071      1.0800e-04           1.9866e-01      1.8051e-02
    2.6997     5.2429      6.5000e-05           1.9881e-01      1.1987e-02
    2.7133     4.9693      8.6000e-05           1.9923e-01      1.7654e-02
    2.7268     4.6874      6.7000e-05           2.0118e-01      1.5458e-02
    2.7404     4.3987      3.1000e-05           2.0356e-01      8.1216e-03
    2.7539     4.1046      1.3100e-04           2.0772e-01      3.9415e-02
    2.7675     3.8066      1.0100e-04           2.1264e-01      3.5333e-02
    2.7810     3.5060      1.0200e-04           2.1984e-01      4.2064e-02
    2.7945     3.2041      9.7000e-05           2.2863e-01      4.7895e-02
    2.8081     2.9021      9.9000e-05           2.4071e-01      5.9585e-02
    2.8216     2.6009      6.8000e-05           2.5573e-01      5.0956e-02
    2.8352     2.3014      7.0000e-05           2.7636e-01      6.6995e-02
    2.8487     2.0042      8.9000e-05           3.0352e-01      1.1232e-01
    2.8623     1.7097      4.3000e-05           3.4255e-01      7.4569e-02
    2.8758     1.4179      4.1000e-05           3.9846e-01      1.0338e-01
    2.8893     1.1287      3.5000e-05           4.8722e-01      1.3926e-01
    2.9029     0.8414      3.8000e-05           6.3901e-01      2.7209e-01
    2.9164     0.5546      0.0000e+00           0.0000e+00      0.0000e+00
    2.9300     0.2625      0.0000e+00           0.0000e+00      0.0000e+00
    2.9435     0.0000      0.0000e+00           0.0000e+00      0.0000e+00
    2.9760     0.5672      0.0000e+00           0.0000e+00      0.0000e+00
    3.0085     1.1388      3.4000e-05           4.9208e-01      1.3290e-01
    3.0409     1.7045      3.4000e-05           3.5841e-01      5.9322e-02
    3.0734     2.2633      2.0000e-05           3.0556e-01      1.9791e-02
    3.1059     2.8134      2.0000e-05           2.8120e-01      1.2808e-02
    3.1384     3.3527      8.0000e-06           2.7302e-01      3.6077e-03
    3.1708     3.8795      1.4000e-05           2.7170e-01      4.7153e-03
    3.2033     4.3921      1.7000e-05           2.7610e-01      4.4672e-03
    3.2358     4.8891      1.3000e-05           2.8211e-01      2.7569e-03
    3.2683     5.3693      8.0000e-06           2.9148e-01      1.4066e-03
    3.3007     5.8318      4.0000e-06           3.0082e-01      5.9619e-04
    3.3332     6.2761      3.0000e-06           3.1258e-01      3.8607e-04
    3.3657     6.7017      3.0000e-06           3.2382e-01      3.3860e-04
    3.3981     7.1088      7.0000e-06           3.3696e-01      7.0216e-04
    3.4306     7.4978      5.0000e-06           3.4893e-01      4.5085e-04
    3.4631     7.8693      4.1000e-05           3.6289e-01      3.3562e-03
    3.4956     8.2240      1.3000e-05           3.7515e-01      9.7433e-04
    3.5280     8.5632      1.6900e-04           3.8972e-01      1.1683e-02
    3.5605     8.8881      5.5000e-05           4.0221e-01      3.5292e-03
    3.5930     9.1999      2.9200e-04           4.1647e-01      1.7488e-02
    3.6255     9.5000      1.9600e-04           4.2880e-01      1.1009e-02
    3.6579     9.7897      6.0000e-05           4.4266e-01      3.1735e-03
    3.6904    10.0702      1.8500e-04           4.5384e-01      9.2475e-03
    3.7229    10.3423      4.8400e-04           4.6671e-01      2.2937e-02
    3.7554    10.6068      1.2300e-04           4.7675e-01      5.5420e-03
    3.7878    10.8640      4.8000e-05           4.8836e-01      2.0615e-03
    3.8203    11.1136      4.3000e-05           4.9609e-01      1.7648e-03
    3.8528    11.3548      1.0000e-05           5.0505e-01      3.9316e-04
    3.8852    11.5858      3.0000e-05           5.0861e-01      1.1329e-03
    3.9177    11.8035      1.1400e-04           5.1114e-01      4.1478e-03
    3.9502    12.0014      5.1000e-05           5.0450e-01      1.7949e-03
    3.9827    12.1666      9.7000e-05           4.9234e-01      3.3217e-03
    4.0151    12.2760      1.6400e-04           4.7020e-01      5.5165e-03
    4.0476    12.3121      7.0000e-05           4.6032e-01      2.3408e-03
    4.0801    12.2996      9.3000e-05           4.6550e-01      3.1162e-03
