            # q-path           omega(meV)         lw_diff(meV)          lambda_diff
            0.000000             0.000000          0.00000e+00          0.00000e+00
            0.025000             0.454900          0.00000e+00          0.00000e+00
            0.049900             0.923400          1.00000e-05          5.94500e-02
            0.074900             1.386200         -2.10000e-05         -5.54030e-02
            0.099800             1.844800          5.00000e-06          7.44700e-03
            0.124800             2.298300         -1.00000e-05         -9.59700e-03
            0.149800             2.746000         -1.20000e-05         -8.06700e-03
            0.174700             3.186900         -1.80000e-05         -8.98400e-03
            0.199700             3.620200          8.00000e-06          3.09500e-03
            0.224600             4.045200         -3.60000e-05         -1.11520e-02
            0.249600             4.461300         -4.80000e-05         -1.22250e-02
            0.274600             4.867800          1.90000e-05          4.06460e-03
            0.299500             5.264500         -9.70000e-05         -1.77410e-02
            0.324500             5.651100         -3.50000e-05         -5.55600e-03
            0.349400             6.027500          3.40000e-05          4.74400e-03
            0.374400             6.393600          5.00000e-05          6.20070e-03
            0.399300             6.749500         -5.80000e-05         -6.45400e-03
            0.424300             7.095300         -1.80000e-05         -1.81200e-03
            0.449300             7.431300         -1.52000e-04         -1.39520e-02
            0.474200             7.757700         -1.91000e-04         -1.60880e-02
            0.499200             8.074700         -3.00000e-05         -2.33240e-03
            0.524100             8.382400         -4.70000e-05         -3.39070e-03
            0.549100             8.681000         -4.70000e-05         -3.16150e-03
            0.574100             8.970600          2.50000e-05          1.57480e-03
            0.599000             9.251000         -4.20000e-05         -2.48770e-03
            0.624000             9.522200          2.10000e-05          1.17400e-03
            0.648900             9.783600          0.00000e+00          0.00000e+00
            0.673900            10.034700          7.00000e-05          3.52380e-03
            0.698900            10.274400          5.90000e-05          2.83313e-03
            0.723800            10.501100          4.20000e-05          1.93067e-03
            0.748800            10.712300          4.40000e-05          1.94365e-03
            0.773700            10.904400          4.90000e-05          2.08891e-03
            0.798700            11.073500          5.90000e-05          2.43900e-03
            0.823700            11.217200          2.50000e-05          1.00720e-03
            0.848600            11.337900         -5.60000e-05         -2.20830e-03
            0.873600            11.443200          6.00000e-05          2.32270e-03
            0.898500            11.541900          1.04000e-04          3.95730e-03
            0.923500            11.639900          1.07000e-04          4.00320e-03
            0.948400            11.740100         -2.11000e-04         -7.75960e-03
            0.973400            11.842300         -3.51000e-04         -1.26880e-02
            0.998400            11.945400          3.70000e-05          1.31500e-03
            1.007800            11.958000          3.44000e-04          1.21940e-02
            1.017200            11.970600         -3.22000e-04         -1.13910e-02
            1.026600            11.983100         -3.35000e-04         -1.18260e-02
            1.036000            11.995500          3.85000e-04          1.35625e-02
            1.045400            12.007600         -1.55000e-04         -5.45000e-03
            1.054800            12.019400          2.59000e-04          9.08750e-03
            1.064300            12.030700          1.99000e-04          6.96990e-03
            1.073700            12.041600          2.07000e-04          7.23690e-03
            1.083100            12.052000          1.16000e-04          4.04790e-03
            1.092500            12.061700          3.00000e-06          1.04500e-04
            1.101900            12.070900          2.23000e-04          7.75790e-03
            1.111300            12.079500          3.08000e-04          1.07000e-02
            1.120700            12.087500          1.87000e-04          6.48790e-03
            1.130200            12.094800          2.28000e-04          7.90100e-03
            1.139600            12.101500          2.42000e-04          8.37650e-03
            1.149000            12.107700          2.43000e-04          8.40270e-03
            1.158400            12.113200          2.24000e-04          7.73860e-03
            1.167800            12.118300          2.81000e-04          9.69980e-03
            1.177200            12.122700          1.21000e-04          4.17360e-03
            1.186600            12.126700          3.51000e-04          1.20995e-02
            1.196000            12.130200          3.05000e-04          1.05075e-02
            1.205500            12.133300          9.20000e-05          3.16780e-03
            1.214900            12.135900          8.50000e-05          2.92550e-03
            1.224300            12.138100          3.53000e-04          1.21453e-02
            1.233700            12.139900          4.35000e-04          1.49619e-02
            1.243100            12.141400          1.33000e-04          4.57347e-03
            1.252500            12.142500          1.42000e-04          4.88240e-03
            1.261900            12.143300          1.45000e-04          4.98452e-03
            1.271400            12.143800          8.50000e-05          2.92170e-03
            1.280800            12.143900          3.39000e-04          1.16522e-02
            1.287800            12.143800          1.83000e-04          6.29020e-03
            1.294900            12.143600          1.59000e-04          5.46550e-03
            1.302000            12.143100          8.80000e-05          3.02520e-03
            1.309000            12.142500          1.42000e-04          4.88240e-03
            1.316100            12.141700          2.05000e-04          7.04900e-03
            1.323100            12.140700          3.63000e-04          1.24842e-02
            1.330200            12.139500          4.42000e-04          1.52035e-02
            1.337300            12.138100          3.53000e-04          1.21453e-02
            1.344300            12.136500          1.79000e-04          6.16030e-03
            1.351400            12.134600          1.91000e-04          6.57500e-03
            1.358400            12.132500          2.20000e-04          7.57660e-03
            1.365500            12.130200          3.05000e-04          1.05075e-02
            1.372600            12.127600          3.85000e-04          1.32691e-02
            1.379600            12.124800          3.18000e-04          1.09649e-02
            1.386700            12.121700          1.93000e-04          6.65820e-03
            1.393700            12.118300          2.81000e-04          9.69980e-03
            1.400800            12.114600          1.83000e-04          6.32060e-03
            1.407900            12.110500          1.83000e-04          6.32490e-03
            1.414900            12.106200          3.53000e-04          1.22092e-02
            1.422000            12.101500          2.42000e-04          8.37650e-03
            1.429000            12.096500          1.00000e-05          3.46000e-04
            1.436100            12.091200          2.39000e-04          8.28690e-03
            1.443200            12.085500          1.25000e-04          4.33820e-03
            1.450200            12.079500          3.08000e-04          1.07000e-02
            1.457300            12.073100          1.65000e-04          5.73820e-03
            1.464300            12.066400          1.64000e-04          5.70970e-03
            1.471400            12.059300          2.05000e-04          7.14590e-03
            1.478500            12.052000          1.16000e-04          4.04790e-03
            1.485500            12.044200          3.30000e-05          1.15300e-03
            1.492600            12.036200         -1.81000e-04         -6.33350e-03
            1.499600            12.027900          2.66000e-04          9.31990e-03
            1.506700            12.019400          2.59000e-04          9.08750e-03
            1.513800            12.010600          1.51000e-04          5.30600e-03
            1.520800            12.001600         -1.76000e-04         -6.19400e-03
            1.527900            11.992400          2.89000e-04          1.01867e-02
            1.534900            11.983100         -3.35000e-04         -1.18260e-02
            1.542000            11.973700         -5.52000e-04         -1.95170e-02
            1.549100            11.964300          1.80000e-04          6.37400e-03
            1.556100            11.954800          4.43000e-04          1.57128e-02
            1.563200            11.945400          3.70000e-05          1.31500e-03
            1.584100            11.842200         -1.73000e-04         -6.25300e-03
            1.605100            11.736300         -4.22000e-04         -1.55300e-02
            1.626100            11.627000         -5.30000e-05         -1.98730e-03
            1.647000            11.513700          1.32000e-04          5.04790e-03
            1.668000            11.396300          4.20000e-05          1.63920e-03
            1.689000            11.275000         -7.00000e-05         -2.79120e-03
            1.709900            11.150900          2.77000e-04          1.12921e-02
            1.730900            11.025800          4.33000e-04          1.80553e-02
            1.751900            10.901800         -6.30000e-05         -2.68700e-03
            1.772800            10.781500         -4.10000e-05         -1.78800e-03
            1.793800            10.667000         -4.70000e-05         -2.09380e-03
            1.814800            10.560300          2.33000e-04          1.05907e-02
            1.835700            10.462800         -2.37000e-04         -1.09741e-02
            1.856700            10.375400         -4.00000e-06         -1.88000e-04
            1.877700            10.298100          1.65000e-04          7.88700e-03
            1.898600            10.230300          4.28000e-04          2.07296e-02
            1.919600            10.170300          3.94000e-04          1.93090e-02
            1.940500            10.115500         -2.76000e-04         -1.36730e-02
