            # q-path           omega(meV)         lw_diff(meV)          lambda_diff
            0.000000             0.000000          0.00000e+00          0.00000e+00
            0.025000             0.454900          0.00000e+00          0.00000e+00
            0.049900             0.923400          4.30000e-05          2.55640e-01
            0.074900             1.386200          4.20000e-05          1.10790e-01
            0.099800             1.844800          8.40000e-05          1.25111e-01
            0.124800             2.298300          6.30000e-05          6.04550e-02
            0.149800             2.746000          4.10000e-05          2.75620e-02
            0.174700             3.186900          3.30000e-05          1.64700e-02
            0.199700             3.620200          8.30000e-05          3.21030e-02
            0.224600             4.045200          2.20000e-05          6.81500e-03
            0.249600             4.461300          1.90000e-05          4.83900e-03
            0.274600             4.867800          7.60000e-05          1.62588e-02
            0.299500             5.264500         -6.10000e-05         -1.11570e-02
            0.324500             5.651100          5.00000e-06          7.94000e-04
            0.349400             6.027500          4.40000e-05          6.13900e-03
            0.374400             6.393600          6.30000e-05          7.81270e-03
            0.399300             6.749500         -3.90000e-05         -4.34000e-03
            0.424300             7.095300          1.00000e-05          1.00700e-03
            0.449300             7.431300         -3.20000e-05         -2.93700e-03
            0.474200             7.757700         -6.10000e-05         -5.13800e-03
            0.499200             8.074700          1.93000e-04          1.50047e-02
            0.524100             8.382400          1.58000e-04          1.13984e-02
            0.549100             8.681000          2.06000e-04          1.38570e-02
            0.574100             8.970600          2.00000e-04          1.25984e-02
            0.599000             9.251000          7.80000e-05          4.61960e-03
            0.624000             9.522200          6.50000e-05          3.63390e-03
            0.648900             9.783600          5.40000e-05          2.85970e-03
            0.673900            10.034700          5.30000e-05          2.66800e-03
            0.698900            10.274400          2.70000e-05          1.29653e-03
            0.723800            10.501100          2.70000e-05          1.24117e-03
            0.748800            10.712300          2.70000e-05          1.19265e-03
            0.773700            10.904400          4.50000e-05          1.91841e-03
            0.798700            11.073500          6.20000e-05          2.56300e-03
            0.823700            11.217200          7.70000e-05          3.10210e-03
            0.848600            11.337900          6.70000e-05          2.64200e-03
            0.873600            11.443200          1.92000e-04          7.43250e-03
            0.898500            11.541900          2.91000e-04          1.10735e-02
            0.923500            11.639900          3.28000e-04          1.22721e-02
            0.948400            11.740100          2.72000e-04          1.00040e-02
            0.973400            11.842300          1.35000e-04          4.87900e-03
            0.998400            11.945400          2.69000e-04          9.55600e-03
            1.007800            11.958000          8.16000e-04          2.89270e-02
            1.017200            11.970600          2.71000e-04          9.58700e-03
            1.026600            11.983100          2.11000e-04          7.44900e-03
            1.036000            11.995500          8.36000e-04          2.94505e-02
            1.045400            12.007600          2.00000e-06          7.00000e-05
            1.054800            12.019400          5.57000e-04          1.95445e-02
            1.064300            12.030700          4.97000e-04          1.74059e-02
            1.073700            12.041600          2.90000e-04          1.01379e-02
            1.083100            12.052000          1.81000e-04          6.31690e-03
            1.092500            12.061700          1.02000e-04          3.55360e-03
            1.101900            12.070900          3.69000e-04          1.28379e-02
            1.111300            12.079500          2.70000e-04          9.38000e-03
            1.120700            12.087500          1.99000e-04          6.90420e-03
            1.130200            12.094800          1.55000e-04          5.37110e-03
            1.139600            12.101500          1.55000e-04          5.36520e-03
            1.149000            12.107700          1.54000e-04          5.32510e-03
            1.158400            12.113200          1.69000e-04          5.83850e-03
            1.167800            12.118300          1.45000e-04          5.00510e-03
            1.177200            12.122700          1.17000e-04          4.03560e-03
            1.186600            12.126700          1.53000e-04          5.27400e-03
            1.196000            12.130200          2.05000e-04          7.06240e-03
            1.205500            12.133300          8.40000e-05          2.89240e-03
            1.214900            12.135900          1.34000e-04          4.61250e-03
            1.224300            12.138100          1.82000e-04          6.26230e-03
            1.233700            12.139900          2.56000e-04          8.80521e-03
            1.243100            12.141400          1.74000e-04          5.98327e-03
            1.252500            12.142500          8.10000e-05          2.78480e-03
            1.261900            12.143300          1.14000e-04          3.91892e-03
            1.271400            12.143800          1.25000e-04          4.29660e-03
            1.280800            12.143900          1.06000e-04          3.64350e-03
            1.287800            12.143800          9.10000e-05          3.12790e-03
            1.294900            12.143600          8.70000e-05          2.99060e-03
            1.302000            12.143100          8.30000e-05          2.85330e-03
            1.309000            12.142500          8.10000e-05          2.78480e-03
            1.316100            12.141700          1.62000e-04          5.57040e-03
            1.323100            12.140700          2.80000e-04          9.62918e-03
            1.330200            12.139500          2.57000e-04          8.84050e-03
            1.337300            12.138100          1.82000e-04          6.26230e-03
            1.344300            12.136500          1.78000e-04          6.12530e-03
            1.351400            12.134600          1.31000e-04          4.50970e-03
            1.358400            12.132500          1.47000e-04          5.06230e-03
            1.365500            12.130200          2.05000e-04          7.06240e-03
            1.372600            12.127600          1.64000e-04          5.65230e-03
            1.379600            12.124800          2.19000e-04          7.55090e-03
            1.386700            12.121700          1.51000e-04          5.20930e-03
            1.393700            12.118300          1.45000e-04          5.00510e-03
            1.400800            12.114600          1.44000e-04          4.97360e-03
            1.407900            12.110500          1.33000e-04          4.59680e-03
            1.414900            12.106200          2.04000e-04          7.05570e-03
            1.422000            12.101500          1.55000e-04          5.36520e-03
            1.429000            12.096500          1.15000e-04          3.98400e-03
            1.436100            12.091200          2.06000e-04          7.14270e-03
            1.443200            12.085500          2.34000e-04          8.12090e-03
            1.450200            12.079500          2.70000e-04          9.38000e-03
            1.457300            12.073100          3.76000e-04          1.30763e-02
            1.464300            12.066400          2.69000e-04          9.36510e-03
            1.471400            12.059300          2.71000e-04          9.44590e-03
            1.478500            12.052000          1.81000e-04          6.31690e-03
            1.485500            12.044200          1.07000e-04          3.73900e-03
            1.492600            12.036200          9.30000e-05          3.25400e-03
            1.499600            12.027900          5.31000e-04          1.86059e-02
            1.506700            12.019400          5.57000e-04          1.95445e-02
            1.513800            12.010600          3.39000e-04          1.19130e-02
            1.520800            12.001600          3.80000e-05          1.33800e-03
            1.527900            11.992400          7.63000e-04          2.68937e-02
            1.534900            11.983100          2.11000e-04          7.44900e-03
            1.542000            11.973700          3.10000e-04          1.09610e-02
            1.549100            11.964300          7.77000e-04          2.75160e-02
            1.556100            11.954800          6.87000e-04          2.43668e-02
            1.563200            11.945400          2.69000e-04          9.55600e-03
            1.584100            11.842200          3.58000e-04          1.29400e-02
            1.605100            11.736300         -2.70000e-05         -9.93000e-04
            1.626100            11.627000          2.25000e-04          8.43660e-03
            1.647000            11.513700          6.25000e-04          2.38989e-02
            1.668000            11.396300          2.80000e-04          1.09289e-02
            1.689000            11.275000          1.17000e-04          4.66560e-03
            1.709900            11.150900          2.83000e-04          1.15371e-02
            1.730900            11.025800          5.97000e-04          2.48933e-02
            1.751900            10.901800          2.83000e-04          1.20706e-02
            1.772800            10.781500          1.11000e-04          4.84000e-03
            1.793800            10.667000          2.43000e-04          1.08254e-02
            1.814800            10.560300          4.68000e-04          2.12727e-02
            1.835700            10.462800          1.99000e-04          9.21500e-03
            1.856700            10.375400          2.52000e-04          1.18670e-02
            1.877700            10.298100          4.67000e-04          2.23220e-02
            1.898600            10.230300          6.19000e-04          2.99806e-02
            1.919600            10.170300          5.36000e-04          2.62680e-02
            1.940500            10.115500         -1.08000e-04         -5.35000e-03
            1.961500            10.061800          3.29000e-04          1.64730e-02
            1.982500            10.004800         -2.25000e-04         -1.13940e-02
